"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"DS_MOTIVO_CASSACAO"
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56871";"RIO NOVO DO SUL";"80000002073";"Indeferimento de partido ou coligação."
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"57070";"MARILÂNDIA";"80000003228";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"57037";"VILA VELHA";"80000003038";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56898";"SANTA LEOPOLDINA";"80000004220";"Ficha limpa (LC 64/90)"
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56294";"COLATINA";"80000005245";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"57037";"VILA VELHA";"80000003732";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56472";"GUARAPARI";"80000008145";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56197";"BOA ESPERANÇA";"80000007737";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56073";"ANCHIETA";"80000007885";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56634";"LINHARES";"80000008777";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56634";"LINHARES";"80000008779";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56472";"GUARAPARI";"80000008673";"Indeferimento de partido ou coligação."
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56472";"GUARAPARI";"80000009601";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"57150";"PEDRO CANÁRIO";"80000010677";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56626";"JOÃO NEIVA";"80000012760";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56170";"BARRA DE SÃO FRANCISCO";"80000011791";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56812";"PINHEIROS";"80000010695";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56774";"NOVA VENÉCIA";"80000011693";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"57150";"PEDRO CANÁRIO";"80000011033";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56413";"ECOPORANGA";"80000011126";"Ficha limpa (LC 64/90)"
"23/01/2020";"08:45:56";"2016";"1";"Eleição Suplementar";"411";"Eleição Suplementar de Castelo (ES)";"ES";"56278";"CASTELO";"80000631340";"Impugnação"
"23/01/2020";"08:45:56";"2016";"1";"Eleição Suplementar";"411";"Eleição Suplementar de Castelo (ES)";"ES";"56278";"CASTELO";"80000631340";"Ausência de requisito de registro "
"23/01/2020";"08:45:56";"2016";"2";"Eleição Ordinária";"220";"Eleições Municipais 2016";"ES";"56065";"ALTO RIO NOVO";"80000001967";"Indeferimento de partido ou coligação."
